ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
1,25,1,49,91107,4,1.6,1,0,1,0,0,0
2,45,19,34,90089,3,1.5,1,0,1,0,0,0
3,39,15,11,94720,1,1.0,1,0,0,0,0,0
4,35,9,100,94112,1,2.7,2,0,0,0,0,0
5,35,8,45,91330,4,1.0,2,0,0,0,0,1
6,37,13,29,92121,4,0.4,2,155,0,0,1,0
7,53,27,72,91711,2,1.5,2,0,0,0,1,0
8,50,24,22,93943,1,0.3,3,0,0,0,0,1
9,35,10,81,90089,3,0.6,2,104,0,0,1,0
10,34,9,180,93023,1,8.9,3,0,0,0,0,0
11,65,39,105,94710,4,2.4,3,0,0,0,0,0
12,29,5,45,90277,3,0.1,2,0,0,0,1,0
13,48,23,114,93106,2,3.8,3,0,1,0,0,0
14,59,32,40,94920,4,2.5,2,0,0,0,1,0
15,67,41,112,91741,1,2.0,1,0,1,0,0,0
16,60,30,22,95054,1,1.5,3,0,0,0,1,1
17,38,14,130,95010,4,4.7,3,134,0,0,0,0
18,42,18,81,94305,4,2.4,1,0,0,0,0,0
19,46,21,193,91604,2,8.1,3,0,0,0,0,0
20,55,28,21,94720,1,0.5,2,0,1,0,0,1
21,56,31,25,94015,4,0.9,2,111,0,0,1,0
22,57,27,63,90095,3,2.0,3,0,0,0,1,0
23,29,5,62,90277,1,1.2,1,260,0,0,1,0
24,44,18,43,91320,2,0.7,1,163,1,0,0,0
25,36,11,152,95521,2,3.9,1,159,0,0,0,1
26,43,19,29,94305,3,0.5,1,97,0,0,1,0
27,40,16,83,95064,4,0.2,3,0,0,0,0,0
28,46,20,158,90064,1,2.4,1,0,0,0,1,1
29,56,30,48,94539,1,2.2,3,0,0,0,1,1
30,38,13,119,94104,1,3.3,2,0,0,1,1,1
